sys_id;item;derivado;variavel;tipo;question_text_original;label;origem_label;avaliacao;label_ajustado;observacoes
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;v_corporate_email;texto;Corporate email;Qual é o seu e-mail corporativo?;modelo;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;are_you_registered_with_wd;lista;Are you registered with WorkDay?;Você já está registrado(a) no WorkDay?;modelo;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;v_name_of_the_person_in_charge;referência;Name of the person in charge;Quem é o(a) colaborador(a) responsável pela criança?;modelo;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Desistir da vaga no berçário;v_name_of_the_person_in_charge_waiver;referência;Name of the person in charge;Quem é o(a) colaborador(a) responsável pela criança?;modelo;;;
0c6f995a1b679150a530426fe54bcba6;Acompanhamento de Beneficio (Cartão de Vale Transporte);Acompanhar entrega do cartão de vale-transporte ou benefício;v_region;texto;Region;Qual é o estado (UF) do endereço de entrega?;modelo;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;has_the_child_been_born;lista; Has the child been born?;A criança já nasceu?;1ª análise;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;v_child_s_name;lista lookup;Child's name;Qual o nome da criança?;1ª análise;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;v_private_email;texto;Private email;Qual seu e-mail pessoal?;1ª análise;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;v_complete_address;texto;Complete address;Qual seu endereço completo?;1ª análise;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;v_shift;lista;Shift;Em qual turno?;1ª análise;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;v_prediction_of_start_to_nursery;data;Prediction of start to nursery;Quando você prevê que a criança comece no berçário?;1ª análise;;;
73bfff2d1b37d154d1abda4ce54bcb1d;Solicitação ou Desistência de Vaga no Berçário;Solicitar vaga no berçário;v_nursery_unit;lista;Nursery unit;Em qual unidade você quer a vaga: NASP ou Cajamar?;1ª análise;;;
