sys_id;item;derivado;variavel;tipo;question_text_original;label;origem_label;avaliacao;label_ajustado;observacoes
26f745881b806dd4a530426fe54bcbb2;Solicitação de Exclusão da Aprovação;Excluir ajuste aprovado indevidamente no ponto;v_company_s;texto;Company;Qual é a empresa do colaborador?;modelo;;;
eec5bf8d33104f9098331c07ee5c7b53;Solicitação de Aplicação de Pagamentos - Outros clientes;Informar pagamento de fatura de outros clientes;country;texto;Country;Qual é o país?;modelo;;;
4b499a951b84a558a530426fe54bcb84;Solicitação para tratativa de pagamentos Varejo;Solicitar pagamento do varejo (lojas);v_request_type_tbs;lista;Select request type;Que tipo de solicitação você precisa para a franquia TBS?;modelo;;;
96ae57af1b9c61d0d1abda4ce54bcbe7;Informações sobre Cartão Corporativo;Avisar viagem internacional com cartão corporativo;v_which_audience_do_you_belong_to;lista;Which audience do you belong to?;Você é do administrativo, varejo ou força de vendas?;modelo;;;
dc0f75b81bb39114d1abda4ce54bcba5;Relatar erros ou ajustes no acesso ADP;Relatar erro ou pedir ajuste de acesso no ADP;v_comments;texto longo;Describe your request in detail.;Descreva o problema ou o ajuste que você precisa.;1ª análise;;;
dc0f75b81bb39114d1abda4ce54bcba5;Relatar erros ou ajustes no acesso ADP;Relatar erro ou pedir ajuste de acesso no ADP;v_select_the_desired_support;lista;Select the desired support:;Que tipo de ajuda você precisa no ADP?;1ª análise;;;
dc0f75b81bb39114d1abda4ce54bcba5;Relatar erros ou ajustes no acesso ADP;Relatar erro ou pedir ajuste de acesso no ADP;v_attach_here_the_evidence_with_your_adp_system_error;anexo;Attach here a screenshot of the error screen or management approval email for cost center inclusion.;Anexe um print do erro ou o e-mail de aprovação do gestor.;1ª análise;;;
26f745881b806dd4a530426fe54bcbb2;Solicitação de Exclusão da Aprovação;Excluir ajuste aprovado indevidamente no ponto;v_dates;data;Date;Qual a data do ajuste que foi aprovado indevidamente?;1ª análise;;;
26f745881b806dd4a530426fe54bcbb2;Solicitação de Exclusão da Aprovação;Excluir ajuste aprovado indevidamente no ponto;nova_detalhe_ajuste;texto longo;;Qual ajuste deve ser excluído? Informe o horário e o que estava errado.;1ª análise;;;
eec5bf8d33104f9098331c07ee5c7b53;Solicitação de Aplicação de Pagamentos - Outros clientes;Informar pagamento de fatura de outros clientes;registration_number;texto;Registration Number;Qual é o número de registro (CNPJ/ID fiscal) do cliente?;1ª análise;;;
eec5bf8d33104f9098331c07ee5c7b53;Solicitação de Aplicação de Pagamentos - Outros clientes;Informar pagamento de fatura de outros clientes;additional_information;texto longo;Additional Information;Quer acrescentar alguma informação ou anexar o comprovante?;1ª análise;;;
eec5bf8d33104f9098331c07ee5c7b53;Solicitação de Aplicação de Pagamentos - Outros clientes;Informar pagamento de fatura de outros clientes;which_subsidiary_is_the_service_for;referência;Which subsidiary is the service for?	;Qual é a subsidiária?;1ª análise;;;
eec5bf8d33104f9098331c07ee5c7b53;Solicitação de Aplicação de Pagamentos - Outros clientes;Informar pagamento de fatura de outros clientes;which_company_your_request_for;lista;Which company is your request for?;Para qual empresa é o pedido?;1ª análise;;;
eec5bf8d33104f9098331c07ee5c7b53;Solicitação de Aplicação de Pagamentos - Outros clientes;Informar pagamento de fatura de outros clientes;invoice_number;texto;Invoice Number   ;Qual é o número da fatura paga?;1ª análise;;;
71d664751b542550d1abda4ce54bcb0f;Informações ou dúvidas relacionadas à Licenças e Ausências;Tirar dúvida sobre licenças e ausências;v_description_details;texto longo;Describe what you need in this field;Qual é a sua dúvida sobre licenças ou ausências?;1ª análise;;;
4b499a951b84a558a530426fe54bcb84;Solicitação para tratativa de pagamentos Varejo;Solicitar pagamento do varejo (lojas);v_collaborator_name;texto;Collaborator name;Qual é o nome do colaborador?;1ª análise;;;
4b499a951b84a558a530426fe54bcb84;Solicitação para tratativa de pagamentos Varejo;Solicitar pagamento do varejo (lojas);v_cost_center;texto;Inform the Cost Center;Qual é o centro de custo?;1ª análise;;;
4b499a951b84a558a530426fe54bcb84;Solicitação para tratativa de pagamentos Varejo;Solicitar pagamento do varejo (lojas);v_franchise_name;texto;Franchise Name;Qual é o nome da franquia?;1ª análise;;;
